Word,C1,C2,C3,C4,Frequency
齿,齿,NA,NA,NA,1.5196
建树,建,树,NA,NA,0.3113
精彩,精,彩,NA,NA,141.0526
盛事,盛,事,NA,NA,0.4374
热衷,热,衷,NA,NA,3.0541
后脚,后,脚,NA,NA,0.3484
粑,粑,NA,NA,NA,0.0667
疑心,疑,心,NA,NA,1.8977
至宝,至,宝,NA,NA,0.1927
告退,告,退,NA,NA,0.252
缆绳,缆,绳,NA,NA,0.341
心事,心,事,NA,NA,15.3966
今生,今,生,NA,NA,27.3091
汗腺,汗,腺,NA,NA,0.3558
情缘,情,缘,NA,NA,15.3225
义工,义,工,NA,NA,2.4611
抿,抿,NA,NA,NA,0.9192
共振,共,振,NA,NA,0.7265
价目,价,目,NA,NA,0.0222
整理,整,理,NA,NA,39.444
曾孙,曾,孙,NA,NA,0.1112
关子,关,子,NA,NA,0.2965
枯,枯,NA,NA,NA,0.2298
传情,传,情,NA,NA,7.3017
争取,争,取,NA,NA,30.089
特色,特,色,NA,NA,24.596
话机,话,机,NA,NA,0.1038
收复,收,复,NA,NA,4.0252
邋遢,邋,遢,NA,NA,7.3165
早饭,早,饭,NA,NA,23.8769
花车,花,车,NA,NA,1.1342
向来,向,来,NA,NA,6.0786
绿地,绿,地,NA,NA,0.9192
嫌疑,嫌,疑,NA,NA,4.0252
逾越,逾,越,NA,NA,1.4678
病害,病,害,NA,NA,0.0964
橡实,橡,实,NA,NA,0.0519
咆哮,咆,哮,NA,NA,5.53
琼,琼,NA,NA,NA,2.4611
二手,二,手,NA,NA,3.1727
鲨,鲨,NA,NA,NA,1.6012
飘摇,飘,摇,NA,NA,0.5189
俊美,俊,美,NA,NA,0.9192
冰袋,冰,袋,NA,NA,0.4744
血战,血,战,NA,NA,1.6012
审慎,审,慎,NA,NA,0.593
政客,政,客,NA,NA,2.5204
高地,高,地,NA,NA,1.5196
浮标,浮,标,NA,NA,0.4374
握,握,NA,NA,NA,15.8488
探视,探,视,NA,NA,1.1342
七窍,七,窍,NA,NA,0.4893
力量,力,量,NA,NA,87.45
豆科,豆,科,NA,NA,0.0445
肤,肤,NA,NA,NA,0.6968
布匹,布,匹,NA,NA,0.1038
生姜,生,姜,NA,NA,7.45
彩礼,彩,礼,NA,NA,0.1779
实弹,实,弹,NA,NA,0.5041
稀薄,稀,薄,NA,NA,0.7265
嚏,嚏,NA,NA,NA,0.089
褶,褶,NA,NA,NA,0.3262
供应,供,应,NA,NA,7.0645
流亡,流,亡,NA,NA,0.7487
从军,从,军,NA,NA,2.0385
刻,刻,NA,NA,NA,85.1446
更名,更,名,NA,NA,2.7947
侧影,侧,影,NA,NA,0.2298
纺,纺,NA,NA,NA,0.1186
评析,评,析,NA,NA,0.1038
电焊,电,焊,NA,NA,0.1927
品德,品,德,NA,NA,2.3128
上古,上,古,NA,NA,0.6004
原则,原,则,NA,NA,25.4855
秃,秃,NA,NA,NA,0.7116
血亲,血,亲,NA,NA,0.4077
号手,号,手,NA,NA,0.1186
赐予,赐,予,NA,NA,25.6042
痕,痕,NA,NA,NA,8.7027
轻重,轻,重,NA,NA,0.9637
新品,新,品,NA,NA,12.6316
螺母,螺,母,NA,NA,0.1779
骄气,骄,气,NA,NA,0.0964
笔调,笔,调,NA,NA,0.089
批评,批,评,NA,NA,19.2809
冥想,冥,想,NA,NA,2.3647
内情,内,情,NA,NA,0.7413
博,博,NA,NA,NA,2319.8962
灾星,灾,星,NA,NA,0.2001
御医,御,医,NA,NA,0.8895
反倒,反,倒,NA,NA,3.9956
架空,架,空,NA,NA,0.3855
司仪,司,仪,NA,NA,0.8599
取景,取,景,NA,NA,0.7784
手臂,手,臂,NA,NA,13.0319
衰老,衰,老,NA,NA,15.8414
缱绻,缱,绻,NA,NA,1.0675
叉子,叉,子,NA,NA,1.7865
镬,镬,NA,NA,NA,0.0445
监听,监,听,NA,NA,2.0534
手袋,手,袋,NA,NA,2.6983
心虚,心,虚,NA,NA,1.9348
空余,空,余,NA,NA,1.1416
豢养,豢,养,NA,NA,0.1705
远洋,远,洋,NA,NA,0.7042
食粮,食,粮,NA,NA,0.6894
半价,半,价,NA,NA,2.1349
实战,实,战,NA,NA,1.8606
考生,考,生,NA,NA,4.8036
割除,割,除,NA,NA,0.0445
聚赌,聚,赌,NA,NA,0.5708
窗棂,窗,棂,NA,NA,0.3188
浮沉,浮,沉,NA,NA,0.9489
墓室,墓,室,NA,NA,0.2372
泊,泊,NA,NA,NA,1.1268
刑讯,刑,讯,NA,NA,0.4225
粉碎,粉,碎,NA,NA,3.0986
蛰居,蛰,居,NA,NA,0.0371
云图,云,图,NA,NA,0.0519
飞车,飞,车,NA,NA,16.1749
音响,音,响,NA,NA,8.6286
现钱,现,钱,NA,NA,0.2224
出色,出,色,NA,NA,41.6901
小修,小,修,NA,NA,0.1779
纠察,纠,察,NA,NA,0.0815
娱,娱,NA,NA,NA,10.5189
倒立,倒,立,NA,NA,1.3343
纯净,纯,净,NA,NA,5.4114
用户,用,户,NA,NA,74.8851
消散,消,散,NA,NA,2.3054
胸臆,胸,臆,NA,NA,0.1334
娇纵,娇,纵,NA,NA,0.1483
游荡,游,荡,NA,NA,5.7598
羔羊,羔,羊,NA,NA,2.4018
纸头,纸,头,NA,NA,0.0964
得体,得,体,NA,NA,3.536
滚边,滚,边,NA,NA,0.341
浸泡,浸,泡,NA,NA,7.6056
染,染,NA,NA,NA,13.788
标志,标,志,NA,NA,16.464
掸,掸,NA,NA,NA,0.1631
拗口,拗,口,NA,NA,0.2669
蒜头,蒜,头,NA,NA,0.7487
蛰,蛰,NA,NA,NA,0.8377
肉感,肉,感,NA,NA,0.593
金牌,金,牌,NA,NA,6.2046
逼迫,逼,迫,NA,NA,3.573
婚介,婚,介,NA,NA,0.2076
公里,公,里,NA,NA,34.0771
磕碰,磕,碰,NA,NA,0.467
唁电,唁,电,NA,NA,0.0297
浩大,浩,大,NA,NA,0.9563
肝炎,肝,炎,NA,NA,1.2009
姑父,姑,父,NA,NA,1.4974
完全,完,全,NA,NA,200.2001
白骨,白,骨,NA,NA,0.4151
深度,深,度,NA,NA,10.4225
囔,囔,NA,NA,NA,0.0148
毛驴,毛,驴,NA,NA,1.0823
政纲,政,纲,NA,NA,0.0371
出演,出,演,NA,NA,5.8784
变种,变,种,NA,NA,1.4233
白地,白,地,NA,NA,0.0815
品系,品,系,NA,NA,0.0667
祭坛,祭,坛,NA,NA,0.556
谣,谣,NA,NA,NA,0.1705
熟知,熟,知,NA,NA,1.3936
猎枪,猎,枪,NA,NA,1.3714
背影,背,影,NA,NA,15.6709
中断,中,断,NA,NA,3.7287
组成,组,成,NA,NA,14.3736
道人,道,人,NA,NA,0.2669
拥有,拥,有,NA,NA,187.1386
大号,大,号,NA,NA,4.5367
基数,基,数,NA,NA,0.3781
优秀,优,秀,NA,NA,46.301
牢骚,牢,骚,NA,NA,4.3736
主创,主,创,NA,NA,0.6523
烦,烦,NA,NA,NA,145.5893
楷,楷,NA,NA,NA,0.0148
见方,见,方,NA,NA,0.3558
古谚,古,谚,NA,NA,0.0297
额,额,NA,NA,NA,37.3684
慑服,慑,服,NA,NA,0.0519
改革,改,革,NA,NA,16.464
花子,花,子,NA,NA,0.4596
炕头,炕,头,NA,NA,0.341
声称,声,称,NA,NA,5.619
咸,咸,NA,NA,NA,12.1053
尺子,尺,子,NA,NA,0.556
忠实,忠,实,NA,NA,6.9236
禅房,禅,房,NA,NA,0.1112
瘤子,瘤,子,NA,NA,0.1631
接手,接,手,NA,NA,4.6256
近旁,近,旁,NA,NA,0.0964
油门,油,门,NA,NA,3.017
绉纱,绉,纱,NA,NA,0.0222
夸赞,夸,赞,NA,NA,0.6672
蟠桃,蟠,桃,NA,NA,0.6227
头衔,头,衔,NA,NA,2.891
犬子,犬,子,NA,NA,0.1853
出席,出,席,NA,NA,12.4981
废黜,废,黜,NA,NA,0.0445
天良,天,良,NA,NA,0.1408
普通,普,通,NA,NA,55.619
疲乏,疲,乏,NA,NA,0.934
激愤,激,愤,NA,NA,0.2446
枪毙,枪,毙,NA,NA,2.5352
言词,言,词,NA,NA,0.3188
房东,房,东,NA,NA,4.5441
哪怕,哪,怕,NA,NA,28.5026
雨量,雨,量,NA,NA,0.2743
广博,广,博,NA,NA,0.4448
施展,施,展,NA,NA,1.6976
海龟,海,龟,NA,NA,2.3944
柩,柩,NA,NA,NA,0.0222
滞销,滞,销,NA,NA,0.2891
瘫,瘫,NA,NA,NA,1.49
反攻,反,攻,NA,NA,1.023
葱,葱,NA,NA,NA,14.596
钓钩,钓,钩,NA,NA,0.0445
窥,窥,NA,NA,NA,1.2676
部分,部,分,NA,NA,236.0563
足金,足,金,NA,NA,0.8006
乐谱,乐,谱,NA,NA,1.1342
重组,重,组,NA,NA,3.6546
坏蛋,坏,蛋,NA,NA,8.6953
枕,枕,NA,NA,NA,8.3469
通电,通,电,NA,NA,0.6968
自焚,自,焚,NA,NA,0.9489
劳心,劳,心,NA,NA,0.5708
战事,战,事,NA,NA,0.6449
锚,锚,NA,NA,NA,0.6004
会友,会,友,NA,NA,1.0971
揭秘,揭,秘,NA,NA,10.6968
益智,益,智,NA,NA,2.5574
荣获,荣,获,NA,NA,2.4685
边境,边,境,NA,NA,4.2921
钢板,钢,板,NA,NA,1.275
前后,前,后,NA,NA,11.3788
娼妇,娼,妇,NA,NA,0.2817
起跳,起,跳,NA,NA,0.7635
律诗,律,诗,NA,NA,0.0593
口音,口,音,NA,NA,7.1016
录,录,NA,NA,NA,92.2832
高跷,高,跷,NA,NA,0.3188
威望,威,望,NA,NA,0.4967
情报,情,报,NA,NA,13.0912
夜工,夜,工,NA,NA,0.0667
皮炎,皮,炎,NA,NA,1.5345
末世,末,世,NA,NA,0.5782
月底,月,底,NA,NA,1.1787
变性,变,性,NA,NA,2.209
激进,激,进,NA,NA,2.7354
词汇,词,汇,NA,NA,4.6108
疯狗,疯,狗,NA,NA,2.4685
监控,监,控,NA,NA,12.2313
墓,墓,NA,NA,NA,13.7583
回报,回,报,NA,NA,35.7228
行劫,行,劫,NA,NA,0.0148
急性,急,性,NA,NA,3.3062
总结,总,结,NA,NA,34.0771
缠绵,缠,绵,NA,NA,5.8636
滑润,滑,润,NA,NA,0.5041
端倪,端,倪,NA,NA,0.6597
前天,前,天,NA,NA,13.1357
肥胖,肥,胖,NA,NA,6.8421
芋,芋,NA,NA,NA,0.1631
接种,接,种,NA,NA,0.7932
加法,加,法,NA,NA,0.8377
红叶,红,叶,NA,NA,0.7042
杯子,杯,子,NA,NA,20.7265
公文,公,文,NA,NA,0.7487
吐字,吐,字,NA,NA,0.2817
三线,三,线,NA,NA,0.4893
皮蛋,皮,蛋,NA,NA,3.2987
深信,深,信,NA,NA,1.957
矿藏,矿,藏,NA,NA,0.1853
国货,国,货,NA,NA,1.1564
优势,优,势,NA,NA,14.2847
囚,囚,NA,NA,NA,0.6153
血肿,血,肿,NA,NA,0.2965
省心,省,心,NA,NA,3.1134
疆,疆,NA,NA,NA,0.3188
筛子,筛,子,NA,NA,0.8673
亡国,亡,国,NA,NA,1.2009
唇裂,唇,裂,NA,NA,0.0667
远虑,远,虑,NA,NA,0.8525
少妇,少,妇,NA,NA,2.1942
插队,插,队,NA,NA,2.7131
巡展,巡,展,NA,NA,0.215
显示,显,示,NA,NA,48.8881
登时,登,时,NA,NA,0.1483
音乐,音,乐,NA,NA,233.7658
成熟,成,熟,NA,NA,78.9251
认知,认,知,NA,NA,4.3884
政府,政,府,NA,NA,66.6864
叮嘱,叮,嘱,NA,NA,3.2468
包皮,包,皮,NA,NA,1.4974
帮衬,帮,衬,NA,NA,1.3269
京剧,京,剧,NA,NA,3.2617
拜会,拜,会,NA,NA,0.467
花丛,花,丛,NA,NA,0.9414
镇,镇,NA,NA,NA,32.6093
电站,电,站,NA,NA,0.4522
焊锡,焊,锡,NA,NA,0.0445
野史,野,史,NA,NA,3.8621
对流,对,流,NA,NA,0.1334
中盘,中,盘,NA,NA,0.6375
天公,天,公,NA,NA,1.7717
骨粉,骨,粉,NA,NA,0.1334
麦芒,麦,芒,NA,NA,0.2001
上天,上,天,NA,NA,17.2128
缉私,缉,私,NA,NA,2.2906
吝,吝,NA,NA,NA,0.0148
儒雅,儒,雅,NA,NA,0.9489
卜,卜,NA,NA,NA,2.8169
无异,无,异,NA,NA,0.6746
聚焦,聚,焦,NA,NA,3.106
立地,立,地,NA,NA,0.3262
杀菌,杀,菌,NA,NA,2.3128
胶鞋,胶,鞋,NA,NA,0.1705
直角,直,角,NA,NA,0.4522
穷人,穷,人,NA,NA,4.4403
嘶哑,嘶,哑,NA,NA,0.7191
开支,开,支,NA,NA,2.513
禁忌,禁,忌,NA,NA,17.5389
查账,查,账,NA,NA,0.2001
渎职,渎,职,NA,NA,0.5856
封条,封,条,NA,NA,0.4522
脱色,脱,色,NA,NA,0.1408
好比,好,比,NA,NA,7.146
靶场,靶,场,NA,NA,0.2001
议员,议,员,NA,NA,9.8147
域名,域,名,NA,NA,1.7939
爽直,爽,直,NA,NA,0.0148
灵车,灵,车,NA,NA,0.3781
交差,交,差,NA,NA,0.4596
新妇,新,妇,NA,NA,0.0297
剑客,剑,客,NA,NA,2.5204
厌烦,厌,烦,NA,NA,5.8117
促膝,促,膝,NA,NA,0.5486
财迷,财,迷,NA,NA,2.298
黄铜,黄,铜,NA,NA,0.3558
主意,主,意,NA,NA,50.5708
谢罪,谢,罪,NA,NA,0.4596
越冬,越,冬,NA,NA,0.0371
拼接,拼,接,NA,NA,5.2557
遨游,遨,游,NA,NA,1.149
烤箱,烤,箱,NA,NA,4.7368
人情,人,情,NA,NA,10.1408
椿,椿,NA,NA,NA,0.0371
片头,片,头,NA,NA,2.1646
反悔,反,悔,NA,NA,1.9422
措词,措,词,NA,NA,0.1705
对偶,对,偶,NA,NA,0.8154
贱民,贱,民,NA,NA,0.2372
覆没,覆,没,NA,NA,0.0593
鹿,鹿,NA,NA,NA,9.4218
教辅,教,辅,NA,NA,0.2298
手巾,手,巾,NA,NA,0.4003
艳福,艳,福,NA,NA,0.2817
跟着,跟,着,NA,NA,10.2446
三思,三,思,NA,NA,1.0007
旧部,旧,部,NA,NA,0.0741
点头,点,头,NA,NA,4.7368
下层,下,层,NA,NA,0.9711
绅士,绅,士,NA,NA,14.6627
过客,过,客,NA,NA,9.911
私立,私,立,NA,NA,1.3047
应承,应,承,NA,NA,1.2157
终极,终,极,NA,NA,25.4855
传导,传,导,NA,NA,0.4893
当众,当,众,NA,NA,3.4396
哆,哆,NA,NA,NA,1.4678
胜,胜,NA,NA,NA,28.9177
使得,使,得,NA,NA,9.9703
关于,关,于,NA,NA,163.2765
琴师,琴,师,NA,NA,0.1408
向量,向,量,NA,NA,0.2891
评,评,NA,NA,NA,16.4937
捆,捆,NA,NA,NA,2.1349
集资,集,资,NA,NA,2.1423
新鲜,新,鲜,NA,NA,47.9096
战车,战,车,NA,NA,1.6531
疾苦,疾,苦,NA,NA,0.6301
求婚,求,婚,NA,NA,12.3425
主题,主,题,NA,NA,301.3269
拧,拧,NA,NA,NA,1.7865
预赛,预,赛,NA,NA,0.3039
汇兑,汇,兑,NA,NA,0.0519
任期,任,期,NA,NA,1.2824
布头,布,头,NA,NA,0.1186
狩猎,狩,猎,NA,NA,3.4841
一气,一,气,NA,NA,0.6301
坚果,坚,果,NA,NA,5.1816
繁体,繁,体,NA,NA,0.5634
访问,访,问,NA,NA,18.6583
混乱,混,乱,NA,NA,20.2743
巡查,巡,查,NA,NA,0.8525
扁柏,扁,柏,NA,NA,0.0371
余悸,余,悸,NA,NA,0.0297
复审,复,审,NA,NA,0.2001
励志,励,志,NA,NA,11.5419
烟花,烟,花,NA,NA,72.172
施加,施,加,NA,NA,1.5419
迷恋,迷,恋,NA,NA,9.0511
编程,编,程,NA,NA,1.8903
眼福,眼,福,NA,NA,0.8302
友谊,友,谊,NA,NA,27.7391
抽风,抽,风,NA,NA,4.255
可心,可,心,NA,NA,0.9563
出操,出,操,NA,NA,0.2669
轻装,轻,装,NA,NA,1.3343
仙鹤,仙,鹤,NA,NA,0.252
俱全,俱,全,NA,NA,1.0378
己方,己,方,NA,NA,0.1631
生育,生,育,NA,NA,5.1075
开场,开,场,NA,NA,12.2683
首都,首,都,NA,NA,13.8547
长者,长,者,NA,NA,1.364
青蒜,青,蒜,NA,NA,0.4522
用意,用,意,NA,NA,1.3714
性命,性,命,NA,NA,5.8933
空难,空,难,NA,NA,0.5782
柄,柄,NA,NA,NA,1.0378
松紧,松,紧,NA,NA,1.7272
熟悉,熟,悉,NA,NA,56.4047
一些,一,些,NA,NA,306.1898
奇才,奇,才,NA,NA,1.9718
苦境,苦,境,NA,NA,0.1927
解析,解,析,NA,NA,5.315
消气,消,气,NA,NA,1.1564
网页,网,页,NA,NA,10.5337
时兴,时,兴,NA,NA,0.2891
焊,焊,NA,NA,NA,0.6746
过道,过,道,NA,NA,2.7205
黏液,黏,液,NA,NA,0.5486
动脉,动,脉,NA,NA,3.9956
另,另,NA,NA,NA,213.3136
市,市,NA,NA,NA,33.8325
寻求,寻,求,NA,NA,11.401
铁腕,铁,腕,NA,NA,0.1557
捉摸,捉,摸,NA,NA,1.8606
雕刻,雕,刻,NA,NA,4.6256
数据,数,据,NA,NA,57.2572
大厅,大,厅,NA,NA,16.1379
定位,定,位,NA,NA,12.387
肝癌,肝,癌,NA,NA,0.8895
重活,重,活,NA,NA,0.3336
多嘴,多,嘴,NA,NA,0.8747
探讨,探,讨,NA,NA,3.8992
听证,听,证,NA,NA,0.897
汇聚,汇,聚,NA,NA,7.1164
勾,勾,NA,NA,NA,6.2046
糖果,糖,果,NA,NA,19.9629
乡里,乡,里,NA,NA,19.8592
踹,踹,NA,NA,NA,1.238
悔恨,悔,恨,NA,NA,4.3143
发挥,发,挥,NA,NA,22.5723
指导,指,导,NA,NA,14.3736
成亲,成,亲,NA,NA,0.4744
补语,补,语,NA,NA,0.0222
上市,上,市,NA,NA,17.8873
轨,轨,NA,NA,NA,1.4085
查处,查,处,NA,NA,1.2305
胭脂,胭,脂,NA,NA,1.4974
旬,旬,NA,NA,NA,0.4596
告诫,告,诫,NA,NA,4.3884
赶超,赶,超,NA,NA,0.9711
指标,指,标,NA,NA,5.3744
掩体,掩,体,NA,NA,0.7784
割断,割,断,NA,NA,1.4826
盛世,盛,世,NA,NA,4.8851
通宵,通,宵,NA,NA,55.656
偏心,偏,心,NA,NA,1.5789
青梅,青,梅,NA,NA,2.3351
木偶,木,偶,NA,NA,3.3136
嘉宾,嘉,宾,NA,NA,11.8829
穆,穆,NA,NA,NA,0.6746
练笔,练,笔,NA,NA,0.089
糨糊,糨,糊,NA,NA,0.1557
票证,票,证,NA,NA,0.2891
莴笋,莴,笋,NA,NA,1.1342
版式,版,式,NA,NA,0.1557
换工,换,工,NA,NA,0.0667
海图,海,图,NA,NA,0.1112
西文,西,文,NA,NA,0.0222
黄豆,黄,豆,NA,NA,3.8769
突出,突,出,NA,NA,11.2231
尝,尝,NA,NA,NA,11.8532
杀机,杀,机,NA,NA,4.3217
钳子,钳,子,NA,NA,1.0304
乒,乒,NA,NA,NA,0.089
宅子,宅,子,NA,NA,0.3558
摒除,摒,除,NA,NA,0.1779
煞气,煞,气,NA,NA,0.3262
大局,大,局,NA,NA,2.6093
冠冕,冠,冕,NA,NA,0.1927
剧情,剧,情,NA,NA,22.854
资源,资,源,NA,NA,50.2965
损,损,NA,NA,NA,1.275
蚀,蚀,NA,NA,NA,0.3558
云,云,NA,NA,NA,54.3365
雄风,雄,风,NA,NA,0.8525
举动,举,动,NA,NA,6.9385
不论,不,论,NA,NA,22.083
千岁,千,岁,NA,NA,0.1186
仪式,仪,式,NA,NA,24.4477
样片,样,片,NA,NA,0.9192
精练,精,练,NA,NA,0.089
留心,留,心,NA,NA,2.8614
奇谈,奇,谈,NA,NA,0.1927
钟,钟,NA,NA,NA,58.7843
弟兄,弟,兄,NA,NA,3.8992
寒心,寒,心,NA,NA,1.616
掮客,掮,客,NA,NA,0.4967
搏,搏,NA,NA,NA,3.9214
琐,琐,NA,NA,NA,0.089
教学,教,学,NA,NA,7.8651
洪武,洪,武,NA,NA,0.3113
吞食,吞,食,NA,NA,0.5411
领航,领,航,NA,NA,4.5441
单口,单,口,NA,NA,0.0593
肚,肚,NA,NA,NA,26.5901
帮凶,帮,凶,NA,NA,1.4307
瑟,瑟,NA,NA,NA,2.6019
时限,时,限,NA,NA,1.0082
时装,时,装,NA,NA,7.6575
走失,走,失,NA,NA,2.3721
遵循,遵,循,NA,NA,3.7954
贤惠,贤,惠,NA,NA,5.1594
明处,明,处,NA,NA,0.089
听凭,听,凭,NA,NA,0.0593
驳回,驳,回,NA,NA,1.957
酸楚,酸,楚,NA,NA,1.4381
告慰,告,慰,NA,NA,0.2372
